Subject,Label,eda_mean,eda_std,eda_min,eda_max,ecg_mean,ecg_std,ecg_min,ecg_max,emg_mean,emg_std,emg_min,emg_max,temp_mean,temp_std,temp_min,temp_max
S2,1,5.044364929199219,0.29904604248639305,4.62799072265625,5.90362548828125,0.007410430908203125,0.15495551217816464,-0.2104339599609375,0.5520172119140625,-0.005416107177734375,0.014922153681098786,-0.0686187744140625,0.0255889892578125,29.161934,0.056818932,29.026154,29.25766
S2,1,4.192816416422526,0.23313120170522178,3.815460205078125,4.605865478515625,0.0023956298828125,0.1435106213887024,-0.2700347900390625,0.4269561767578125,-0.002349853515625,0.0073896473828750165,-0.016204833984375,0.01776123046875,28.883308,0.0834224,28.745026,29.121002
S2,1,3.5508155822753906,0.16099038815165892,3.2894134521484375,3.8333892822265625,-0.01374664306640625,0.11550927477348999,-0.2575836181640625,0.2683868408203125,-0.002564239501953125,0.00913832618643913,-0.0331878662109375,0.0291595458984375,28.793629,0.033914056,28.73639,28.873993
S2,1,3.089014689127604,0.1639489202619625,2.8232574462890625,3.3794403076171875,0.0072967529296875,0.14614896812896785,-0.2549285888671875,0.5695037841796875,-0.001197052001953125,0.009321975606540642,-0.042022705078125,0.01446533203125,28.749382,0.06338925,28.661957,28.885468
S2,1,2.6272964477539062,0.10661600701580691,2.440643310546875,2.8285980224609375,0.00634002685546875,0.14332205707493392,-0.22943115234375,0.5264739990234375,-0.002796173095703125,0.007992381071809383,-0.0253143310546875,0.0171661376953125,28.576359,0.0443432,28.50174,28.706299
S2,1,2.3038736979166665,0.07711076478917231,2.1823883056640625,2.4444580078125,0.001084136962890625,0.1654975799984429,-0.2578582763671875,0.670074462890625,-0.001966094970703125,0.011704362814425998,-0.0412445068359375,0.02655029296875,28.538782,0.063720755,28.441711,28.684845
S2,1,2.0717366536458335,0.06150773466549241,1.9622802734375,2.182769775390625,-0.00857086181640625,0.13820946185916022,-0.24833679199218747,0.6378021240234375,-0.00165557861328125,0.009995358845743594,-0.0409698486328125,0.0315399169921875,28.419395,0.041466374,28.361725,28.547485
S2,1,1.87774658203125,0.0557928742078531,1.7879486083984375,1.9947052001953125,-0.009035491943359375,0.1415796245874639,-0.239410400390625,0.5482635498046875,-0.000832366943359375,0.009257495472053017,-0.02581787109375,0.02288818359375,28.493692,0.039627757,28.416046,28.650482
S2,1,1.7288398742675781,0.037339139763448395,1.659393310546875,1.8337249755859375,-0.0066436767578125,0.1342763575084187,-0.2486114501953125,0.4181671142578125,-0.003902435302734375,0.010888531041410613,-0.0334625244140625,0.0160675048828125,28.485434,0.046601847,28.384583,28.61615
S2,1,1.6206677754720051,0.03350739773639612,1.5598297119140625,1.6998291015625,-0.014842987060546875,0.11943654757687039,-0.264312744140625,0.2504425048828125,-0.0007843017578125,0.008684588286984887,-0.026275634765625,0.026458740234375,28.3885,0.030131472,28.33319,28.493134
